"Age";"IDs";"ITC";"ITD";"";""
69;5775;-0,203310069521578;0,565422273559965;0,565422273559965;0,565422273559965
70;5775;0,380282431630874;0,601762728744945;1,13704904594776;1,70247131950773
71;5775;1,00021538796832;0,638103183929925;1,40591123367905;3,10838255318678
72;5775;1,65648879949075;0,674443639114905;0,657339323410515;3,76572187659729
73;5775;2,34910266619814;0,710784094299885;0,64926717309149;4,41498904968878
74;5775;3,07805698809049;0,747124549484865;0,736927726141874;5,15191677583066
75;5775;3,84335176516785;0,783465004669845;0,742020366161667;5,89393714199232
76;5775;4,64498699743019;0,819805459854825;0,812391079722822;6,70632822171515
77;5775;5,48296268487751;0,856145915039805;0,824399741390395;7,53072796310554
78;5775;6,3572788275098;0,892486370224785;0,886588721830813;8,41731668493635
79;5775;7,26793542532708;0,928826825409765;0,9028442271344;9,32016091207075
80;5775;8,21493247832935;0,965167280594745;0,960231598976667;10,2803925110474
81;5775;9,19826998651656;1,00150773577973;0,979371333207693;11,2597638442551
82;5775;10,2179479498888;1,03784819096471;1,03358122979003;12,2933450740451
83;5775;11,273966368446;1,07418864614969;1,05481717020319;13,3481622442483
84;5775;12,3663252421882;1,11052910133467;1,10675652684441;14,4549187710927
85;5775;13,4950245711153;1,14686955651965;1,12959132719598;15,5845100982887
86;5775;14,6600643552275;1,18321001170463;1,17981942774112;16,7643295260298
87;5775;15,8614445945246;1,21955046688961;1,20391841719005;17,9682479432199
88;5775;17,0991652890066;1,25589092207459;1,25280542204139;19,2210533652613
89;5775;18,3732264386737;1,29223137725957;1,2779321113127;20,498985476574
90;5775;19,6836280435258;1,32857183244455;1,32573634038468;21,8247218169587
91;5775;21,0303701035628;1,36491228762952;1,3517170651621;23,1764388821208
92;5775;22,4134526187848;1,4012527428145;1,39862637069826;24,575065252819
93;5775;23,8328755891918;1,43759319799948;1,42532958457461;26,0003948373936
94;5775;25,2886390147838;1,47393365318446;1,47148514803121;27,4718799854248
95;5775;26,7807428955608;1,51027410836944;1,49880863352557;28,9706886189504
96;5775;28,3091872315227;1,54661456355442;1,54431945496034;30,5150080739107
97;5775;29,8739720226696;1,5829550187394;1,57218207248823;32,087190146399
98;5775;31,4750972690015;1,61929547392438;1,61713421118753;33,7043243575865
99;5775;33,1125629705184;1,65563592910936;1,64547037786075;35,3497947354473
100;5775;34,7863691272202;1,69197638429434;1,68993307673998;37,0397278121872
101;5775;36,4965157391071;1,72831683947932;1,71868895556565;38,7584167677529
102;5775;38,2430028061789;1,7646572946643;1,76271883425726;40,5211356020101
103;5775;40,0258303284357;1,80099774984928;1,79184963287768;42,3129852348878
104;5775;41,8449983058775;1,83733820503426;1,83549363947395;44,1484788743618
105;5775;43,7005067385042;1,87367866021924;1,86496165057563;46,0134405249374
106;5775;45,5923556263159;1,91001911540422;1,90825919013596;47,9216997150734
107;5775;47,5205449693127;1,9463595705892;1,93803234075912;49,8597320558325
108;5775;49,4850747674944;1,98270002577418;1,98101684281331;51,8407488986458
109;5775;51,485945020861;2,01904048095916;2,01106760097445;53,8518164996202
110;5775;53,5231557294127;2,05538093614414;2,05376769549252;55,9055841951128
111;5775;55,5967068931493;2,09172139132912;2,08407223285813;57,9896564279709
112;5775;57,7065985120709;2,1280618465141;2,12651264713498;60,1161690751059
113;5775;59,8528305861775;2,16440230169908;4,33615671654172;64,4523257916476
114;5775;62,0354031154691;2,20074275688406;4,39999519827241;68,85232098992
115;5775;64,2543160999456;2,23708321206904;4,48124488315808;73,3335658730781
116;5775;66,5095695396072;2,27342366725402;4,54541136643357;77,8789772395117
117;5775;68,8011634344537;2,309764122439;4,62635368620588;82,5053309257176
118;5775;71,1290977844852;2,34610457762398;4,69082352099229;87,1961544467098
119;5775;73,4933725897016;2,38244503280896;4,77148079683877;91,9676352435486
120;5775;75,8939878501031;2,41878548799394;4,83623210563328;96,8038673491819
121;5775;78,3309435656896;2,45512594317892;4,91662423173593;101,720491580918
122;5775;80,804239736461;2,4914663983639;4,98163749951658;106,702129080434
123;5775;83,3138763624173;2,52780685354888;5,06178229040671;111,763911370841
124;5775;85,8598534435587;2,56414730873386;5,1270400287627;116,890951399604
125;5775;88,4421709798851;2,60048776391884;5,20695350578887;122,097904905393
126;5775;91,0608289713964;2,63682821910382;5,27243997554684;127,37034488094
127;5775;93,7158274180927;2,6731686742888;5,35213660494642;132,722481485886
128;5775;96,407166319974;2,70950912947378;5,41783758536685;138,140319071253
129;5775;99,1348456770403;2,74584958465876;5,49733047752344;143,637649548776
130;5775;101,898865489292;2,78219003984374;5,56323307290126;149,200882621677
131;5775;104,699225756728;2,81853049502872;5,64253415021457;154,843416771892
132;5775;107,535926479349;2,8548709502137;5,70862662676853;160,552043398661
133;5775;110,408967657155;2,89121140539868;5,78774676594618;166,339790164607
134;5775;113,318349290146;2,92755186058366;5,85401841342224;172,193808578029
135;5775;116,264071378323;2,96389231576864;5,93296756677798;178,126776144807
136;5775;119,231371022314;2,96747638278489;5,9339072144344;184,060683359241
137;5775;122,198847405099;2,96747638278489;5,93988994658662;190,000573305828
138;5775;125,166323787884;2,96747638278489;5,93395679084133;195,934530096669
139;5775;128,133800170669;2,96747638278489;5,93966126425541;201,874191360925
140;5775;131,101276553454;2,96747638278489;5,93400187860191;207,808193239527
141;5775;134,068752936239;2,96747638278489;5,93945282853356;213,74764606806
142;5775;137,036229319024;2,96747638278489;5,93404306091748;219,681689128978
143;5775;140,003705701809;2,96747638278489;5,93926206457486;225,620951193553
144;5775;142,971182084594;2,96747638278489;5,93408082415104;231,555032017704
145;5775;145,938658467378;2,96747638278489;5,9390868163828;237,494118834086
146;5775;148,906134850163;2,96747638278489;5,93411557712572;243,428234411212
147;5775;151,873611232948;2,96747638278489;5,93892526497103;249,367159676183
148;5775;154,841087615733;2,96747638278489;5,93414766598501;255,301307342168
149;5775;157,808563998518;2,96747638278489;5,93877586499101;261,240083207159
150;5775;160,776040381303;2,96747638278489;5,93417738576163;267,174260592921
151;5775;163,743516764088;2,96747638278489;5,93863729514146;273,112897888062
152;5775;166,710993146873;2,96747638278489;5,9342049894754;279,047102877538
153;5775;169,678469529658;2,96747638278489;5,9385084189851;284,985611296523
154;5775;172,645945912443;2,96747638278489;5,93423069535442;290,919841991877
155;5775;175,613422295227;2,96747638278489;5,93838825371074;296,858230245588
156;5775;178,580898678012;2,96747638278489;5,93425469261647;302,792484938204
157;5775;181,548375060797;2,96747638278489;5,93827594502257;308,730760883227
158;5775;184,515851443582;2,96747638278489;5,93427714613454;314,665038029361
159;5775;187,483327826367;2,96747638278489;5,93817074679874;320,60320877616
160;5775;190,450804209152;2,96747638278489;5,93429820023012;326,53750697639
161;5775;193,418280591937;2,96747638278489;5,93807200449509;332,475578980885
162;5775;196,385756974722;2,96747638278489;5,9343179817786;338,409896962664
163;5775;199,353233357507;2,96747638278489;5,93797914151326;344,347876104177
164;5775;202,320709740291;2,96747638278489;5,93433660276813;350,282212706945
165;5775;205,288186123076;2,96747638278489;5,93789164793356;356,220104354879
166;5775;208,255662505861;2,96747638278489;5,93435416242091;362,1544585173
167;5775;211,223138888646;2,96747638278489;5,93780907114721;368,092267588447
168;5775;214,190615271431;2,96747638278489;5,93437074896188;374,026638337409
169;5775;217,158091654216;2,96747638278489;5,93773100802482;379,964369345434
170;5775;220,125568037001;2,96747638278489;5,93438644110117;385,898755786535
171;5775;223,093044419786;2,96747638278489;5,93765709833487;391,83641288487
172;5775;226,060520802571;2,96747638278489;5,9344013092832;397,770814194153
173;5775;229,027997185355;2,96747638278489;5,93758701918551;403,708401213339
174;5775;231,99547356814;2,96747638278489;5,93441541674384;409,642816630082
175;5775;234,962949950925;2,96747638278489;5,9375204803087;415,580337110391
